OpenROAD 26Q1-2900-gdf79404cd8 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/NangateOpenCellLibrary_typical.lib
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/fakeram45_256x16.lib
read_db ./results/nangate45/ariane133/base/2_1_floorplan.odb
read_sdc ./results/nangate45/ariane133/base/2_1_floorplan.sdc
source /OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
source /work/runs/run8_human_placement_400mhz/constraints/macro_placement.tcl
Run8 macro classify: icache_tag=12 icache_data=32 dcache_tag=24 dcache_data=64 total=132
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_0__data_sram.genblk1_1__i_ram/macro_mem_2 placed. Bounding box (1242.580um, 892.115um), (1320.290um, 932.715um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_0__data_sram.genblk1_1__i_ram/macro_mem_3 placed. Bounding box (1340.290um, 892.115um), (1418.000um, 932.715um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_1__data_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (1067.160um, 846.615um), (1144.870um, 887.215um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_1__data_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (1164.870um, 846.615um), (1242.580um, 887.215um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_1__data_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (1242.580um, 846.615um), (1320.290um, 887.215um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_1__data_sram.genblk1_0__i_ram/macro_mem_3 placed. Bounding box (1340.290um, 846.615um), (1418.000um, 887.215um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_1__data_sram.genblk1_1__i_ram/macro_mem_0 placed. Bounding box (1067.160um, 800.975um), (1144.870um, 841.575um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_1__data_sram.genblk1_1__i_ram/macro_mem_1 placed. Bounding box (1164.870um, 800.975um), (1242.580um, 841.575um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_1__data_sram.genblk1_1__i_ram/macro_mem_2 placed. Bounding box (1242.580um, 800.975um), (1320.290um, 841.575um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_icache.sram_block_1__data_sram.genblk1_1__i_ram/macro_mem_3 placed. Bounding box (1340.290um, 800.975um), (1418.000um, 841.575um). Orientation R0
